brand,type,name,time,address,service,city,record_date
PX Mart,Supermarket,精誠,08:00-23:00,臺中市西區精誠路294號1樓,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,中工,08:00-23:00,臺中市西屯區中工二路2號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場,無印良品",臺中市,2022-02-24
PX Mart,Supermarket,台中二中,08:00-23:00,臺中市北區中清路1段27號1樓,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,大連,08:00-23:00,臺中市北屯區大連路二段12號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,忠明,08:00-23:00,臺中市西區忠明南路445號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,北屯,08:00-23:00,臺中市北屯區北屯路289之10號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中萬和,08:00-23:00,臺中市南屯區永春東路1043號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,大智,08:00-23:00,臺中市東區大智路350巷2號1樓,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,文心,08:00-23:00,臺中市西屯區重慶路136號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,十甲,08:00-23:00,臺中市東區十甲路452號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中文華,08:00-23:00,臺中市西屯區河南路1段125號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中健康,08:00-23:00,臺中市南區美村南路72號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中學府,08:00-23:00,臺中市南區復興路3段126號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中永興,08:00-23:00,臺中市北區永興街242號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,台中樂群,08:00-23:00,臺中市西區南屯路1段41號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中民權,08:00-23:00,臺中市西區民權路217巷1號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,台中向上,08:00-23:00,臺中市西區美村路1段298號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中南門,08:30-23:00,臺中市南區台中路520號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,豐原成功,08:00-23:00,臺中市豐原區成功路198號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,龍井中央,07:00-22:00,臺中市龍井區中央路3段46號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,新社中和,08:00-22:00,臺中市新社區中和街5段13號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
